date,hh_count,ll_count,net_count
2024-01-01,23,0,23
2024-01-02,24,0,24
2024-01-03,19,0,19
2024-01-04,19,3,16
2024-01-05,8,1,7
2024-01-06,4,1,3
2024-01-07,3,4,-1
2024-01-08,7,2,5
2024-01-09,5,3,2
2024-01-10,15,0,15
2024-01-11,15,0,15
2024-01-12,3,1,2
2024-01-13,5,1,4
2024-01-14,3,1,2
2024-01-15,7,1,6
2024-01-16,13,0,13
2024-01-17,9,1,8
2024-01-18,3,2,1
2024-01-19,7,2,5
2024-01-20,6,1,5
2024-01-21,9,2,7
2024-01-22,2,9,-7
2024-01-23,2,17,-15
2024-01-24,5,3,2
2024-01-25,7,5,2
2024-01-26,10,0,10
2024-01-27,5,0,5
2024-01-28,5,0,5
2024-01-29,6,0,6
2024-01-30,7,2,5
2024-01-31,3,14,-11
2024-02-01,3,3,0
2024-02-02,8,0,8
2024-02-03,6,2,4
2024-02-04,7,19,-12
2024-02-05,8,7,1
2024-02-06,6,6,0
2024-02-07,5,1,4
2024-02-08,6,2,4
2024-02-09,11,0,11
2024-02-10,8,0,8
2024-02-11,7,0,7
2024-02-12,20,0,20
2024-02-13,15,1,14
2024-02-14,24,0,24
2024-02-15,24,2,22
2024-02-16,29,1,28
2024-02-17,23,1,22
2024-02-18,37,0,37
2024-02-19,37,0,37
2024-02-20,34,0,34
2024-02-21,17,0,17
2024-02-22,18,1,17
2024-02-23,12,0,12
2024-02-24,21,1,20
2024-02-25,42,0,42
2024-02-26,56,0,56
2024-02-27,47,1,46
2024-02-28,53,2,51
2024-02-29,47,1,46
2024-03-01,119,0,119
2024-03-02,143,0,143
2024-03-03,67,0,67
2024-03-04,77,1,76
2024-03-05,24,1,23
2024-03-06,64,0,64
2024-03-07,94,2,92
2024-03-08,81,2,79
2024-03-09,110,1,109
2024-03-10,62,0,62
2024-03-11,122,0,122
2024-03-12,90,0,90
2024-03-13,112,0,112
2024-03-14,36,0,36
2024-03-15,20,1,19
2024-03-16,5,1,4
2024-03-17,15,0,15
2024-03-18,9,2,7
2024-03-19,3,4,-1
2024-03-20,10,0,10
2024-03-21,10,0,10
2024-03-22,8,0,8
2024-03-23,5,0,5
2024-03-24,13,0,13
2024-03-25,19,0,19
2024-03-26,31,0,31
2024-03-27,13,0,13
2024-03-28,21,1,20
2024-03-29,20,1,19
2024-03-30,12,1,11
2024-03-31,21,0,21
2024-04-01,12,2,10
2024-04-02,5,7,-2
2024-04-03,6,3,3
2024-04-04,9,0,9
2024-04-05,8,3,5
2024-04-06,8,0,8
2024-04-07,11,0,11
2024-04-08,9,0,9
2024-04-09,6,2,4
2024-04-10,11,3,8
2024-04-11,8,6,2
2024-04-12,1,35,-34
2024-04-13,1,81,-80
2024-04-14,0,0,0
2024-04-15,0,11,-11
2024-04-16,0,5,-5
2024-04-17,0,16,-16
2024-04-18,1,0,1
2024-04-19,1,1,0
2024-04-20,0,0,0
2024-04-21,1,0,1
2024-04-22,2,0,2
2024-04-23,1,0,1
2024-04-24,4,1,3
2024-04-25,2,1,1
2024-04-26,2,5,-3
2024-04-27,2,0,2
2024-04-28,0,4,-4
2024-04-29,0,5,-5
2024-04-30,0,48,-48
2024-05-01,1,19,-18
2024-05-02,0,2,-2
2024-05-03,1,1,0
2024-05-04,2,1,1
2024-05-05,0,1,-1
2024-05-06,0,5,-5
2024-05-07,0,8,-8
2024-05-08,0,19,-19
2024-05-09,1,1,0
2024-05-10,0,34,-34
2024-05-11,0,35,-35
2024-05-12,2,48,-46
2024-05-13,0,56,-56
2024-05-14,1,118,-117
2024-05-15,1,0,1
2024-05-16,2,5,-3
2024-05-17,1,0,1
2024-05-18,0,0,0
2024-05-19,1,15,-14
2024-05-20,3,0,3
2024-05-21,1,0,1
2024-05-22,1,0,1
2024-05-23,2,2,0
2024-05-24,1,0,1
2024-05-25,1,0,1
2024-05-26,2,2,0
2024-05-27,6,0,6
2024-05-28,5,2,3
2024-05-29,3,1,2
2024-05-30,1,3,-2
2024-05-31,2,5,-3
2024-06-01,3,0,3
2024-06-02,3,7,-4
2024-06-03,2,8,-6
2024-06-04,2,4,-2
2024-06-05,3,2,1
2024-06-06,3,2,1
2024-06-07,2,32,-30
2024-06-08,1,81,-80
2024-06-09,2,9,-7
2024-06-10,1,63,-62
2024-06-11,0,136,-136
2024-06-12,0,1,-1
2024-06-13,0,123,-123
2024-06-14,0,162,-162
2024-06-15,0,40,-40
2024-06-16,0,26,-26
2024-06-17,0,205,-205
2024-06-18,0,240,-240
2024-06-19,0,57,-57
2024-06-20,0,33,-33
2024-06-21,0,50,-50
2024-06-22,0,56,-56
2024-06-23,0,154,-154
2024-06-24,0,31,-31
2024-06-25,0,7,-7
2024-06-26,0,42,-42
2024-06-27,0,7,-7
2024-06-28,1,51,-50
2024-06-29,0,96,-96
2024-06-30,1,1,0
2024-07-01,2,19,-17
2024-07-02,1,26,-25
2024-07-03,0,159,-159
2024-07-04,0,262,-262
2024-07-05,0,226,-226
2024-07-06,1,0,1
2024-07-07,0,113,-113
2024-07-08,0,2,-2
2024-07-09,1,0,1
2024-07-10,1,1,0
2024-07-11,2,8,-6
2024-07-12,2,4,-2
2024-07-13,3,1,2
2024-07-14,3,1,2
2024-07-15,3,1,2
2024-07-16,4,1,3
2024-07-17,2,0,2
2024-07-18,1,0,1
2024-07-19,1,0,1
2024-07-20,3,0,3
2024-07-21,3,0,3
2024-07-22,0,1,-1
2024-07-23,0,3,-3
2024-07-24,0,5,-5
2024-07-25,0,8,-8
2024-07-26,1,1,0
2024-07-27,0,1,-1
2024-07-28,0,0,0
2024-07-29,1,1,0
2024-07-30,1,8,-7
2024-07-31,1,22,-21
2024-08-01,1,28,-27
2024-08-02,1,112,-111
2024-08-03,1,176,-175
2024-08-04,0,232,-232
2024-08-05,0,271,-271
2024-08-06,0,2,-2
2024-08-07,0,44,-44
2024-08-08,1,0,1
2024-08-09,1,0,1
2024-08-10,1,0,1
2024-08-11,0,2,-2
2024-08-12,1,0,1
2024-08-13,0,0,0
2024-08-14,0,1,-1
2024-08-15,0,15,-15
2024-08-16,2,17,-15
2024-08-17,3,0,3
2024-08-18,1,1,0
2024-08-19,4,0,4
2024-08-20,5,0,5
2024-08-21,4,0,4
2024-08-22,2,0,2
2024-08-23,7,1,6
2024-08-24,5,0,5
2024-08-25,4,0,4
2024-08-26,0,1,-1
2024-08-27,0,1,-1
2024-08-28,0,5,-5
2024-08-29,0,5,-5
2024-08-30,0,6,-6
2024-08-31,0,13,-13
2024-09-01,0,41,-41
2024-09-02,0,0,0
2024-09-03,0,23,-23
2024-09-04,0,3,-3
2024-09-05,0,32,-32
2024-09-06,0,79,-79
2024-09-07,0,4,-4
2024-09-08,0,0,0
2024-09-09,0,0,0
2024-09-10,3,0,3
2024-09-11,1,0,1
2024-09-12,2,0,2
2024-09-13,2,0,2
2024-09-14,2,0,2
2024-09-15,6,1,5
2024-09-16,1,9,-8
2024-09-17,3,2,1
2024-09-18,5,0,5
2024-09-19,5,0,5
2024-09-20,12,0,12
2024-09-21,14,0,14
2024-09-22,7,0,7
2024-09-23,10,0,10
2024-09-24,12,0,12
2024-09-25,10,0,10
2024-09-26,14,0,14
2024-09-27,19,0,19
2024-09-28,7,0,7
2024-09-29,15,0,15
2024-09-30,6,0,6
2024-10-01,5,8,-3
2024-10-02,3,10,-7
2024-10-03,1,10,-9
2024-10-04,6,0,6
2024-10-05,6,0,6
2024-10-06,6,0,6
2024-10-07,11,1,10
2024-10-08,4,0,4
2024-10-09,0,3,-3
2024-10-10,5,3,2
2024-10-11,6,0,6
2024-10-12,10,0,10
2024-10-13,8,1,7
2024-10-14,13,0,13
2024-10-15,8,1,7
2024-10-16,5,3,2
2024-10-17,4,3,1
2024-10-18,7,1,6
2024-10-19,11,1,10
2024-10-20,19,0,19
2024-10-21,4,1,3
2024-10-22,6,0,6
2024-10-23,4,7,-3
2024-10-24,5,2,3
2024-10-25,5,25,-20
2024-10-26,1,5,-4
2024-10-27,2,0,2
2024-10-28,6,1,5
2024-10-29,13,0,13
2024-10-30,10,2,8
2024-10-31,1,14,-13
2024-11-01,1,15,-14
2024-11-02,1,24,-23
2024-11-03,0,54,-54
2024-11-04,0,97,-97
2024-11-05,0,1,-1
2024-11-06,13,1,12
2024-11-07,15,1,14
2024-11-08,20,3,17
2024-11-09,37,0,37
2024-11-10,57,1,56
2024-11-11,113,2,111
2024-11-12,25,2,23
2024-11-13,16,4,12
2024-11-14,6,3,3
2024-11-15,23,0,23
2024-11-16,81,0,81
2024-11-17,17,0,17
2024-11-18,85,1,84
2024-11-19,28,1,27
2024-11-20,6,0,6
2024-11-21,34,1,33
2024-11-22,88,2,86
2024-11-23,156,0,156
2024-11-24,179,0,179
2024-11-25,42,2,40
2024-11-26,50,0,50
2024-11-27,150,0,150
2024-11-28,71,0,71
2024-11-29,140,0,140
2024-11-30,197,0,197
2024-12-01,129,0,129
2024-12-02,172,0,172
2024-12-03,232,0,232
2024-12-04,194,1,193
2024-12-05,76,0,76
2024-12-06,185,2,183
2024-12-07,57,0,57
2024-12-08,103,0,103
2024-12-09,2,0,2
2024-12-10,0,0,0
2024-12-11,6,0,6
2024-12-12,12,1,11
2024-12-13,18,1,17
2024-12-14,7,1,6
2024-12-15,14,0,14
2024-12-16,3,1,2
2024-12-17,4,2,2
2024-12-18,0,7,-7
2024-12-19,0,10,-10
2024-12-20,2,0,2
2024-12-21,4,2,2
2024-12-22,2,1,1
2024-12-23,3,0,3
2024-12-24,4,0,4
2024-12-25,3,0,3
2024-12-26,2,4,-2
2024-12-27,2,1,1
2024-12-28,2,0,2
2024-12-29,2,2,0
2024-12-30,2,1,1
2024-12-31,1,0,1
2025-01-01,2,0,2
2025-01-02,3,2,1
2025-01-03,2,0,2
2025-01-04,3,0,3
2025-01-05,3,0,3
2025-01-06,1,0,1
2025-01-07,0,7,-7
2025-01-08,0,15,-15
2025-01-09,0,17,-17
2025-01-10,0,2,-2
2025-01-11,0,0,0
2025-01-12,0,5,-5
2025-01-13,0,34,-34
2025-01-14,0,2,-2
2025-01-15,1,0,1
2025-01-16,1,0,1
2025-01-17,3,0,3
2025-01-18,3,4,-1
2025-01-19,0,48,-48
2025-01-20,1,36,-35
2025-01-21,4,1,3
2025-01-22,2,12,-10
2025-01-23,1,16,-15
2025-01-24,0,44,-44
2025-01-25,0,13,-13
2025-01-26,2,47,-45
2025-01-27,2,65,-63
2025-01-28,1,111,-110
2025-01-29,0,3,-3
2025-01-30,3,1,2
2025-01-31,3,0,3
2025-02-01,2,94,-92
2025-02-02,0,181,-181
2025-02-03,4,73,-69
2025-02-04,1,206,-205
2025-02-05,1,193,-192
2025-02-06,0,246,-246
2025-02-07,0,75,-75
2025-02-08,1,1,0
2025-02-09,2,10,-8
2025-02-10,1,1,0
2025-02-11,0,8,-8
2025-02-12,0,1,-1
2025-02-13,1,6,-5
2025-02-14,2,1,1
2025-02-15,1,6,-5
2025-02-16,0,6,-6
2025-02-17,0,13,-13
2025-02-18,1,56,-55
2025-02-19,1,19,-18
2025-02-20,3,0,3
2025-02-21,0,22,-22
2025-02-22,2,0,2
2025-02-23,2,6,-4
2025-02-24,1,209,-208
2025-02-25,0,50,-50
2025-02-26,0,61,-61
2025-02-27,1,18,-17
2025-02-28,0,33,-33
2025-03-01,0,48,-48
2025-03-02,0,0,0
2025-03-03,0,215,-215
